dias_em_atraso,valor_divida,canal_utilizado,faixa_risco,faixa_atraso,canal_grupo,valor_faixa
108,19037.15,Assessoria,Muito Alto,>60 dias,Humano,Alto
86,7653.22,WhatsApp,Alto,>60 dias,Digital,Alto
116,17444.68,SMS,Muito Alto,>60 dias,Digital,Alto
41,9217.71,WhatsApp,Médio,30-60 dias,Digital,Alto
31,25935.02,Ligação,Muito Alto,30-60 dias,Humano,Alto
98,21588.22,SMS,Muito Alto,>60 dias,Digital,Alto
97,5336.57,SMS,Muito Alto,>60 dias,Digital,Alto
3,27678.74,SMS,Muito Alto,<15 dias,Digital,Alto
68,14512.2,WhatsApp,Alto,>60 dias,Digital,Alto
90,9474.93,SMS,Alto,>60 dias,Digital,Alto
84,4244.08,WhatsApp,Alto,>60 dias,Digital,Alto
11,2507.4,WhatsApp,Baixo,<15 dias,Digital,Alto
33,28098.15,Assessoria,Muito Alto,30-60 dias,Humano,Alto
80,21723.02,WhatsApp,Muito Alto,>60 dias,Digital,Alto
2,2026.81,SMS,Baixo,<15 dias,Digital,Alto
103,10562.08,Ligação,Muito Alto,>60 dias,Humano,Alto
93,28152.74,Ligação,Muito Alto,>60 dias,Humano,Alto
33,29016.67,SMS,Muito Alto,30-60 dias,Digital,Alto
90,18747.63,WhatsApp,Alto,>60 dias,Digital,Alto
104,26593.9,WhatsApp,Muito Alto,>60 dias,Digital,Alto
120,26920.36,SMS,Muito Alto,>60 dias,Digital,Alto
67,1846.47,WhatsApp,Alto,>60 dias,Digital,Alto
38,10210.95,WhatsApp,Alto,30-60 dias,Digital,Alto
113,14469.24,Assessoria,Muito Alto,>60 dias,Humano,Alto
103,19985.17,SMS,Muito Alto,>60 dias,Digital,Alto
18,1349.54,Assessoria,Baixo,15-30 dias,Humano,Médio
107,16828.24,Ligação,Muito Alto,>60 dias,Humano,Alto
118,25457.43,SMS,Muito Alto,>60 dias,Digital,Alto
107,21423.07,Ligação,Muito Alto,>60 dias,Humano,Alto
23,14404.55,WhatsApp,Alto,15-30 dias,Digital,Alto
30,27752.03,Ligação,Muito Alto,30-60 dias,Humano,Alto
101,13025.06,Ligação,Muito Alto,>60 dias,Humano,Alto
75,26650.0,WhatsApp,Muito Alto,>60 dias,Digital,Alto
57,3194.42,SMS,Médio,30-60 dias,Digital,Alto
92,14701.83,Ligação,Muito Alto,>60 dias,Humano,Alto
44,6631.83,Ligação,Médio,30-60 dias,Humano,Alto
21,11400.02,WhatsApp,Alto,15-30 dias,Digital,Alto
110,5114.95,SMS,Muito Alto,>60 dias,Digital,Alto
63,6143.66,Ligação,Alto,>60 dias,Humano,Alto
19,28358.67,Ligação,Muito Alto,15-30 dias,Humano,Alto
57,23858.4,Ligação,Muito Alto,30-60 dias,Humano,Alto
113,7788.76,SMS,Muito Alto,>60 dias,Digital,Alto
43,13209.46,Ligação,Alto,30-60 dias,Humano,Alto
109,28581.48,Ligação,Muito Alto,>60 dias,Humano,Alto
54,23668.54,WhatsApp,Muito Alto,30-60 dias,Digital,Alto
70,27951.08,WhatsApp,Muito Alto,>60 dias,Digital,Alto
12,4700.03,SMS,Baixo,<15 dias,Digital,Alto
86,19129.45,Assessoria,Alto,>60 dias,Humano,Alto
45,29720.36,SMS,Muito Alto,30-60 dias,Digital,Alto
80,25982.26,Ligação,Muito Alto,>60 dias,Humano,Alto
72,16057.81,SMS,Alto,>60 dias,Digital,Alto
8,18968.23,SMS,Alto,<15 dias,Digital,Alto
8,27327.75,Assessoria,Muito Alto,<15 dias,Humano,Alto
105,181.09,WhatsApp,Muito Alto,>60 dias,Digital,Baixo
28,19593.97,Ligação,Alto,15-30 dias,Humano,Alto
69,1172.56,WhatsApp,Alto,>60 dias,Digital,Médio
104,11468.03,Assessoria,Muito Alto,>60 dias,Humano,Alto
45,29550.97,Ligação,Muito Alto,30-60 dias,Humano,Alto
51,8815.37,WhatsApp,Médio,30-60 dias,Digital,Alto
98,27863.48,SMS,Muito Alto,>60 dias,Digital,Alto
76,27774.27,WhatsApp,Muito Alto,>60 dias,Digital,Alto
6,29908.75,Assessoria,Muito Alto,<15 dias,Humano,Alto
81,5803.94,WhatsApp,Alto,>60 dias,Digital,Alto
111,17329.12,Assessoria,Muito Alto,>60 dias,Humano,Alto
21,9979.59,Assessoria,Médio,15-30 dias,Humano,Alto
34,11259.44,WhatsApp,Alto,30-60 dias,Digital,Alto
114,14665.02,WhatsApp,Muito Alto,>60 dias,Digital,Alto
119,7153.57,Assessoria,Muito Alto,>60 dias,Humano,Alto
38,20435.31,WhatsApp,Muito Alto,30-60 dias,Digital,Alto
118,8399.76,Assessoria,Muito Alto,>60 dias,Humano,Alto
107,21255.08,WhatsApp,Muito Alto,>60 dias,Digital,Alto
32,6463.15,WhatsApp,Médio,30-60 dias,Digital,Alto
46,8133.96,Assessoria,Médio,30-60 dias,Humano,Alto
10,17849.08,Assessoria,Alto,<15 dias,Humano,Alto
96,11734.75,Ligação,Muito Alto,>60 dias,Humano,Alto
98,1030.35,Assessoria,Muito Alto,>60 dias,Humano,Médio
30,9447.07,SMS,Médio,30-60 dias,Digital,Alto
106,1809.35,Ligação,Muito Alto,>60 dias,Humano,Alto
47,5489.69,WhatsApp,Médio,30-60 dias,Digital,Alto
44,18761.9,Ligação,Alto,30-60 dias,Humano,Alto
87,7730.24,SMS,Alto,>60 dias,Digital,Alto
19,15645.35,Ligação,Alto,15-30 dias,Humano,Alto
50,8085.23,Assessoria,Médio,30-60 dias,Humano,Alto
92,21908.46,WhatsApp,Muito Alto,>60 dias,Digital,Alto
95,13829.97,WhatsApp,Muito Alto,>60 dias,Digital,Alto
40,8880.05,WhatsApp,Médio,30-60 dias,Digital,Alto
11,511.61,SMS,Baixo,<15 dias,Digital,Médio
12,2241.51,Ligação,Baixo,<15 dias,Humano,Alto
82,8286.56,Ligação,Alto,>60 dias,Humano,Alto
59,8881.85,SMS,Médio,30-60 dias,Digital,Alto
17,2306.98,Ligação,Baixo,15-30 dias,Humano,Alto
35,5664.05,SMS,Médio,30-60 dias,Digital,Alto
29,9486.82,Ligação,Médio,15-30 dias,Humano,Alto
114,3311.68,Assessoria,Muito Alto,>60 dias,Humano,Alto
37,18721.23,Ligação,Alto,30-60 dias,Humano,Alto
100,4516.54,SMS,Muito Alto,>60 dias,Digital,Alto
37,11383.04,Assessoria,Alto,30-60 dias,Humano,Alto
74,10013.8,Assessoria,Alto,>60 dias,Humano,Alto
101,25805.05,WhatsApp,Muito Alto,>60 dias,Digital,Alto
103,12401.26,WhatsApp,Muito Alto,>60 dias,Digital,Alto
112,29063.57,Ligação,Muito Alto,>60 dias,Humano,Alto
21,5492.15,Assessoria,Médio,15-30 dias,Humano,Alto
13,6339.73,Assessoria,Médio,<15 dias,Humano,Alto
12,16214.76,Assessoria,Alto,<15 dias,Humano,Alto
92,22754.92,Ligação,Muito Alto,>60 dias,Humano,Alto
44,11887.17,Ligação,Alto,30-60 dias,Humano,Alto
55,9562.06,Ligação,Médio,30-60 dias,Humano,Alto
96,11918.38,Ligação,Muito Alto,>60 dias,Humano,Alto
1,10991.02,Assessoria,Alto,<15 dias,Humano,Alto
